rank,Name,Year,Rating,Metascore,Runtime,Genre,Votes
65,The Friendship Game,2022,"

3.5
",,87 min,Sci-Fi,335
66,Synchronic,2019,"

6.2
",64        ,102 min,"Crime, Drama, Horror","31,685"
67,Donnie Darko,2001,"

8.0
",88        ,113 min,"Drama, Mystery, Sci-Fi","800,499"
68,Ready Player One,2018,"

7.4
",64        ,140 min,"Action, Adventure, Sci-Fi","435,538"
69,Spiderhead,2022,"

5.4
",54        ,106 min,"Action, Crime, Drama","55,327"
70,Man of Steel,2013,"

7.1
",55        ,143 min,"Action, Adventure, Sci-Fi","770,777"
71,The Terminator,1984,"

8.1
",84        ,107 min,"Action, Sci-Fi","862,827"
72,V for Vendetta,2005,"

8.2
",62        ,132 min,"Action, Drama, Sci-Fi","1,119,690"
73,Shang-Chi and the Legend of the Ten Rings,2021,"

7.4
",71        ,132 min,"Action, Adventure, Fantasy","378,102"
74,Splice,2009,"

5.8
",66        ,104 min,"Horror, Sci-Fi","98,142"
75,Sonic the Hedgehog 2,2022,"

6.5
",47        ,122 min,"Action, Adventure, Comedy","65,156"
76,Thor: Ragnarok,2017,"

7.9
",74        ,130 min,"Action, Adventure, Comedy","748,535"
77,Edge of Tomorrow,2014,"

7.9
",71        ,113 min,"Action, Adventure, Sci-Fi","677,280"
78,Terminator Genisys,2015,"

6.3
",38        ,126 min,"Action, Adventure, Sci-Fi","279,018"
79,Captain America: Civil War,2016,"

7.8
",75        ,147 min,"Action, Adventure, Sci-Fi","784,640"
80,Lightyear,2022,"

6.0
",60        ,100 min,"Animation, Action, Adventure","101,544"
81,Aliens,1986,"

8.4
",84        ,137 min,"Action, Adventure, Sci-Fi","716,055"
82,Transformers,2007,"

7.0
",61        ,144 min,"Action, Adventure, Sci-Fi","637,992"
83,Starship Troopers,1997,"

7.3
",51        ,129 min,"Action, Adventure, Sci-Fi","297,148"
84,Star Wars: Episode IX - The Rise of Skywalker,2019,"

6.5
",53        ,141 min,"Action, Adventure, Fantasy","449,596"
85,The Adam Project,2022,"

6.7
",55        ,106 min,"Action, Adventure, Comedy","198,788"
86,Terminator 2: Judgment Day,1991,"

8.6
",75        ,137 min,"Action, Sci-Fi","1,094,465"
87,2001: A Space Odyssey,1968,"

8.3
",84        ,149 min,"Adventure, Sci-Fi","667,366"
88,Star Trek,2009,"

7.9
",82        ,127 min,"Action, Adventure, Sci-Fi","604,139"
89,Her,2013,"

8.0
",91        ,126 min,"Drama, Romance, Sci-Fi","611,842"
90,Logan,2017,"

8.1
",77        ,137 min,"Action, Drama, Sci-Fi","759,999"
91,The Thing,1982,"

8.2
",57        ,109 min,"Horror, Mystery, Sci-Fi","425,163"
92,Venom,2018,"

6.6
",35        ,112 min,"Action, Adventure, Sci-Fi","484,032"
93,Wonder Woman,2017,"

7.4
",76        ,141 min,"Action, Adventure, Fantasy","657,190"
94,Watchmen,2009,"

7.6
",56        ,162 min,"Action, Drama, Mystery","552,391"
95,Stargate,1994,"

7.0
",42        ,116 min,"Action, Adventure, Sci-Fi","192,003"
96,The Fifth Element,1997,"

7.6
",52        ,126 min,"Action, Adventure, Sci-Fi","474,426"
97,E.T. the Extra-Terrestrial,1982,"

7.9
",91        ,115 min,"Adventure, Family, Sci-Fi","409,835"
98,Ex Machina,2014,"

7.7
",78        ,108 min,"Drama, Sci-Fi, Thriller","544,901"
99,A Quiet Place,2018,"

7.5
",82        ,90 min,"Drama, Horror, Sci-Fi","527,334"
100,Under the Skin,2013,"

6.3
",80        ,108 min,"Drama, Horror, Mystery","145,117"
101,WarGames,1983,"

7.1
",77        ,114 min,"Action, Drama, Sci-Fi","101,454"
102,Idiocracy,2006,"

6.5
",66        ,84 min,"Adventure, Comedy, Sci-Fi","164,786"
103,Godzilla vs. Kong,2021,"

6.3
",59        ,113 min,"Action, Sci-Fi, Thriller","208,763"
104,The Hunger Games: Catching Fire,2013,"

7.5
",76        ,146 min,"Action, Adventure, Sci-Fi","664,971"
105,Vesper,2022,"

6.0
",70        ,114 min,"Adventure, Drama, Sci-Fi","11,042"
106,The Munsters,2022,"

4.5
",57        ,109 min,"Comedy, Family, Fantasy","8,786"
107,Divergent,2014,"

6.6
",48        ,139 min,"Action, Adventure, Mystery","461,190"
108,28 Days Later...,2002,"

7.5
",73        ,113 min,"Drama, Horror, Sci-Fi","415,779"
109,Spider-Man: Homecoming,2017,"

7.4
",73        ,133 min,"Action, Adventure, Sci-Fi","654,129"
110,Snowpiercer,2013,"

7.1
",84        ,126 min,"Action, Sci-Fi, Thriller","361,707"
111,Prometheus,2012,"

7.0
",64        ,124 min,"Adventure, Mystery, Sci-Fi","610,299"
112,The Mist,2007,"

7.1
",58        ,126 min,"Horror, Sci-Fi, Thriller","312,686"
113,Avengers: Age of Ultron,2015,"

7.3
",66        ,141 min,"Action, Adventure, Sci-Fi","860,821"
114,Star Trek Beyond,2016,"

7.0
",68        ,122 min,"Action, Adventure, Sci-Fi","247,135"
115,Super Mario Bros.,1993,"

4.1
",35        ,104 min,"Adventure, Comedy, Family","55,336"
116,Star Wars: Episode I - The Phantom Menace,1999,"

6.5
",51        ,136 min,"Action, Adventure, Fantasy","804,272"
117,Children of Men,2006,"

7.9
",84        ,109 min,"Action, Drama, Sci-Fi","501,176"
118,X-Men,2000,"

7.3
",64        ,104 min,"Action, Adventure, Sci-Fi","616,316"
119,Star Wars: Episode VII - The Force Awakens,2015,"

7.8
",80        ,138 min,"Action, Adventure, Sci-Fi","928,696"
120,Dune,1984,"

6.3
",41        ,137 min,"Action, Adventure, Sci-Fi","162,591"
121,Batman v Superman: Dawn of Justice,2016,"

6.4
",44        ,151 min,"Action, Adventure, Sci-Fi","699,134"
122,Mr. Nobody,2009,"

7.8
",63        ,141 min,"Drama, Fantasy, Romance","234,244"
123,Event Horizon,1997,"

6.6
",35        ,96 min,"Horror, Sci-Fi, Thriller","182,157"
124,Captain Marvel,2019,"

6.8
",64        ,123 min,"Action, Adventure, Sci-Fi","558,477"
125,Annihilation,2018,"

6.8
",79        ,115 min,"Adventure, Drama, Horror","326,780"
126,The Martian,2015,"

8.0
",80        ,144 min,"Adventure, Drama, Sci-Fi","850,896"
127,The Fly,1986,"

7.6
",79        ,96 min,"Drama, Horror, Sci-Fi","184,380"
128,X-Men: Apocalypse,2016,"

6.9
",52        ,144 min,"Action, Adventure, Sci-Fi","435,789"
129,Vanilla Sky,2001,"

6.9
",45        ,136 min,"Fantasy, Mystery, Romance","268,742"
130,Weird Science,1985,"

6.6
",46        ,94 min,"Comedy, Romance, Sci-Fi","90,095"
131,Jurassic World,2015,"

6.9
",59        ,124 min,"Action, Adventure, Sci-Fi","642,702"
132,Doctor Strange,2016,"

7.5
",72        ,115 min,"Action, Adventure, Fantasy","739,931"
133,Alita: Battle Angel,2019,"

7.3
",53        ,122 min,"Action, Adventure, Sci-Fi","268,005"
134,The Butterfly Effect,2004,"

7.6
",30        ,113 min,"Drama, Sci-Fi, Thriller","490,391"
135,El hoyo,2019,"

7.0
",73        ,94 min,"Horror, Sci-Fi, Thriller","224,732"
136,Justice League,2017,"

6.1
",45        ,120 min,"Action, Adventure, Fantasy","452,891"
137,Predator,1987,"

7.8
",47        ,107 min,"Action, Adventure, Horror","424,038"
138,A Quiet Place Part II,2020,"

7.2
",71        ,97 min,"Drama, Horror, Sci-Fi","226,886"
139,Spider-Man: Far from Home,2019,"

7.4
",69        ,129 min,"Action, Adventure, Sci-Fi","489,790"
140,Venom: Let There Be Carnage,2021,"

5.9
",49        ,97 min,"Action, Adventure, Sci-Fi","222,876"
141,Triangle,2009,"

6.9
",,99 min,"Fantasy, Mystery, Sci-Fi","117,307"
142,Spider-Man 3,2007,"

6.3
",59        ,139 min,"Action, Adventure, Sci-Fi","590,421"
143,WALL·E,2008,"

8.4
",95        ,98 min,"Animation, Adventure, Family","1,111,455"
144,RoboCop,1987,"

7.6
",70        ,102 min,"Action, Crime, Sci-Fi","259,927"
145,The Empire Strikes Back,1980,"

8.7
",82        ,124 min,"Action, Adventure, Fantasy","1,286,383"
146,Passengers,2016,"

7.0
",41        ,116 min,"Drama, Romance, Sci-Fi","405,921"
147,Blade,1998,"

7.1
",47        ,120 min,"Action, Horror, Sci-Fi","276,282"
148,Batman & Robin,1997,"

3.7
",28        ,125 min,"Action, Sci-Fi","254,757"
149,Captain America: The Winter Soldier,2014,"

7.8
",70        ,136 min,"Action, Adventure, Sci-Fi","843,361"
150,Independence Day,1996,"

7.0
",59        ,145 min,"Action, Adventure, Sci-Fi","575,970"
151,The Lobster,2015,"

7.1
",82        ,119 min,"Drama, Romance, Sci-Fi","256,794"
152,Life,2017,"

6.6
",54        ,104 min,"Horror, Sci-Fi, Thriller","232,222"
153,Men in Black,1997,"

7.3
",71        ,98 min,"Action, Adventure, Comedy","568,867"
154,The Tomorrow War,2021,"

6.5
",45        ,138 min,"Action, Adventure, Drama","205,401"
155,Planet of the Apes,1968,"

8.0
",79        ,112 min,"Adventure, Sci-Fi","181,011"
156,Limitless,2011,"

7.4
",59        ,105 min,"Sci-Fi, Thriller","574,461"
157,Armageddon,1998,"

6.7
",42        ,151 min,"Action, Adventure, Sci-Fi","427,139"
